Name,Gems
bill_dortch,1
hooligan495,1
serabe,1
ndushay,1
mwmitchell,1
cbeer,1
justincoyne,1
mbklein,1
reefdog,1
knowtheory,1
toyokazu,1
paulbeattie,1
markmcconachie,1
ggilder,1
mailchimp,1
denro,1
43120,1
wallyqs,1
jberkel,1
jhellan,1
mattt,1
rhalff,1
zen_programmer,1
decioferreira,1
746,1
remiprev,1
wrdevos,1
yb66,1
fguillen,1
julienXX,1
januszm,1
Salzig,1
leogalmeida,1
wijet,1
sharpsaw,1
timcharper_rf,1
benprew,1
fiddyspence,1
mjijackson,1
chopmo,1
opencorporates,1
theiceberk,1
sandipransing,1
preston,1
daniely,1
tholmes,1
snaka,1
topfunky,1
caiges,1
agriffis,1
cratchit,1
ahpook,1
binford2k,1
rnelson0,1
kylog,1
jimpusher,1
topliceanu,1
max13,1
Offirmo,1
aetherknight,1
lucasallan,1
586,1
sentient6,1
steeve,1
bvandenbos,1
scraperwiki,1
h0lyalg0rithm,1
gfx,1
jeremyevans,1
mhartl,1
andrea,1
pdlug,1
astern,1
mwmanning,1
L2G,1
agb,1
jarmo,1
lorefnon,1
sargas,1
eppo,1
wldcordeiro,1
jhenkens,1
jrgifford,1
dnrce,1
43121,1
shifi,1
zefer,1
marcandre,1
uehli,1
862,1
piotrmurach,1
Kirill,1
CraigCottingham,1
timvandecasteel,1
harlow,1
dgalarza,1
sdague,1
rcahearn,1
porada,1
kenichikun,1
kwugirl,1
mwear,1
tkrajcar,1
newrelicbot,1
jackdempsey,1
jurriaan,1
randym,1
dylanvaughn,1
rokob,1
jondeandres,1
coryvirok,1
kshep,1
brianrue,1
tpope,1
potenza,1
rharriso,1
sergey_kishenin,1
stevegraham,1
RanjibDey,1
682,1
meleyal,1
nknapp,1
lawnsea,1
kpdecker,1
avit,1
davidfstr,1
igorT,1
bmac,1
ebryn,1
njam,1
cf-osl,1
mainej,1
laise,1
patocano,1
cmills,1
hwyss,1
precipice,1
zdavatz,1
mhatakeyama,1
gshutler,1
BenMorganIO,1
badosu,1
tconnors,1
evanfossier,1
jingming,1
praser05,1
twiliomatt,1
AlexPayment,1
philnash,1
skimbrel,1
dougblack,1
ujihisa,1
alevy,1
robertodecurnex,1
martinemde,1
glennpratt,1
hiravgandhi,1
dmendel,1
binarybabel,1
argerim,1
lunks,1
rchimal,1
43088,1
mdespuits,1
m4dc4p,1
meh99,1
JakeGoulding,1
Nerian,1
matenia,1
halfbyte,1
aryan,1
hakunin,1
esbanarango,1
nzkoz,1
alejandrobabio,1
45153,1
joshuap,1
leppert,1
spike21,1
bbenezech,1
amerine,1
swanandp,1
marocchino,1
rocknruby,1
nicooga,1
190,1
jacobbednarz,1
MikeMcQuaid,1
sfeley,1
kugaevsky,1
codingdesigner,1
Snugug,1
stjernstrom,1
ianwarner,1
ahawkins,1
hirose31,1
matschaffer,1
stesla,1
automach,1
cdainmiller,1
halogenandtoast,1
arex,1
knutjda,1
mcfiredrill,1
761,1
cloudhead,1
lewisac,1
bill_eisenhauer,1
mnoack,1
rubys,1
1551,1
306,1
matthu3,1
koic_ito,1
rsim,1
ebeigarts,1
yahonda,1
cyu,1
2498,1
kytrinyx,1
markbates,1
gdb,1
softr8,1
pseudomuto,1
fgrehm,1
seyhunak,1
tylerrick,1
logical42,1
rposborne,1
enkessler,1
rlmflores,1
raysrashmi,1
bmorton,1
eiel,1
bwillis,1
stripe,1
borski,1
bsedat,1
tinfoilsecurity,1
ShaneWilton,1
seamusabshere,1
Fryguy,1
kindkid,1
cavalle,1
porras,1
mlineen,1
baschtl,1
mhfs,1
marcel,1
ctran,1
ArturT,1
notold,1
camertron,1
KL-7,1
pabs,1
ambethia,1
dropbox-api-team,1
gettalong,1
adamgotterer,1
dm1try,1
emkosz,1
k0kubun,1
da3mon,1
wilhelmbierbaum,1
cmcbride,1
pushrax,1
dylanahsmith,1
fw42,1
peter_public,1
jarl,1
govuk,1
3177,1
569,1
rothsa,1
patsplat,1
cluobah,1
felipeelias,1
jneen,1
2850,1
romanbsd,1
remvee,1
ssmoot,1
sneal,1
primdahl,1
miyagawa,1
locks,1
guangyang,1
andrerod,1
thbishop,1
thiagofm,1
mrsweaters,1
shioyama,1
justinfrench,1
mjbellantoni,1
kball,1
zokioki,1
mehlah,1
ian-heggie,1
flowdock,1
Otto,1
Flowdock,1
RST-J,1
pd,1
iainbeeston,1
hoxworth,1
MarkGibbons,1
ifland,1
dougireton,1
johnleach,1
sawanoboly,1
supercodepoet,1
littlebtc,1
xuanxu,1
45372,1
565,1
fcsonline,1
anilmaurya,1
alto,1
jkreeftmeijer,1
mighe,1
43317,1
Meskyanichi,1
sdhull,1
girasquid,1
cfauser,1
bslobodin,1
ph7,1
kseebaldt,1
qxjit,1
tech-angels,1
goosetav,1
shaper,1
skorks,1
jmanrubia,1
snatchev,1
mdiep,1
timfelgentreff,1
nate,1
brandonarbini,1
kiela,1
randoum,1
kucaahbe,1
blade,1
clarke,1
pyu,1
bfulton,1
nahiluhmot,1
tlunter,1
ethomson,1
carlosmn,1
arthurschreiber,1
glejeune,1
greg,1
jaylev,1
beect,1
metrix,1
adamsalter,1
kjvarga,1
jpshackelford,1
hashcode,1
jamfour,1
nertzy,1
casecommons,1
gabrielg,1
thejamespinto,1
mojodna,1
gazay,1
dbock,1
san650,1
smartinez87,1
peterp,1
larsg,1
marknadig,1
lowjoel,1
splattael,1
chrislloyd,1
ryanto,1
gollahon,1
bquorning,1
johnbackus,1
tomaszpajor,1
nevir,1
geni,1
txus,1
mrcasals,1
CraigBuchek,1
genericsteele,1
liufengyun,1
Ranmocy,1
kitop,1
hawx,1
xrkhill,1
perfectlynormal,1
mileszs,1
nathanvda,1
tocker,1
cloudinary,1
javierav,1
nwiger,1
nateware,1
jonathanwiesel,1
vrinek,1
tiegz,1
brandonhilkert,1
miaout17,1
ki,1
MSchmidt,1
airbrake,1
usiegj00,1
qoobaa,1
1940,1
mkdynamic,1
asppsa,1
idyll,1
ncuesta,1
CamJN,1
prototype,1
paolochiodi,1
cupakromer,1
kylefiedler,1
iain,1
tolsen718,1
reed,1
samg,1
catia3045,1
niw,1
keitaf,1
43569,1
44818,1
hoverbird,1
jakl,1
jugyo,1
caleb_thompson,1
rdmosolgo,1
zpao,1
Kosmas,1
fortuity,1
mynyml,1
naruse,1
nobu,1
Ezveus,1
aakriti,1
renee-travisci,1
carlad,1
probablycorey,1
sixtomartin,1
onelogin,1
lordnibbler,1
Shayne,1
mikeyk,1
tretti,1
heatonjb,1
44667,1
benlovell,1
gaffneyc,1
benlangfeld,1
craigmcnamara,1
benasher44,1
douglasfshearer,1
presidentbeef,1
bartoszblimke,1
hartsock,1
3068,1
cdickmann,1
kerrizor,1
molf,1
chrisjroos,1
aycrum,1
jamesmead,1
shekibobo,1
aquasync,1
yoshihara,1
okkez,1
ichord,1
BeepDog,1
JohnColvin,1
joeyw,1
dragonkh,1
tengeh,1
Rykian,1
tomykaira,1
koriroys,1
robisenberg,1
leonid-shevtsov,1
brtdv,1
garnierjm,1
joelmoss,1
fphilipe,1
miloops,1
mcasimir,1
codykrieger,1
remear,1
joaomdmoura,1
sergiocambra,1
aderyabin,1
smcgivern,1
brodock,1
chastell,1
1192,1
kevinrutherford,1
timo_roessner,1
mattpolito,1
hashrocket,1
43370,1
jgdavey,1
gregf,1
schaary,1
masuidrive,1
mat813,1
44852,1
rue,1
eventualbuddha,1
altamic,1
lifofifo,1
ECR,1
