Project,Repo,Project license,Repo License,Sourcerank
Rubygems/raptor-io,https://github.com/rapid7/raptor-io,MIT,BSD-3-Clause,8
Rubygems/jruby-warck,https://github.com/ptinovacao/rubygem-jruby-warck,MIT,LGPL-2.1,8
Rubygems/boardeffect,https://github.com/boardeffect/boardeffect,MIT,Apache-2.0,8
Rubygems/zstd-ruby,https://github.com/SpringMT/zstd-ruby,MIT,BSD-3-Clause,8
Rubygems/yboss,https://github.com/elcamino/yboss,MIT,BSD-3-Clause,8
Rubygems/omniauth-paypal-permissions,https://github.com/hfwang/omniauth-paypal-permissions,MIT,Apache-2.0,8
Rubygems/ordino_sdk,https://github.com/meducation/ordino_sdk,MIT,AGPL-3.0,8
Rubygems/appium_connect,https://github.com/Orasi/AppiumConnect,MIT,BSD-3-Clause,8
Rubygems/phut,https://github.com/trema/phut,"GPL-2.0,MIT",GPL-2.0,8
Rubygems/ggl,https://github.com/mrowa44/ggl,MIT,GPL-3.0,8
Rubygems/csrmatrix,https://github.com/Team-Aqua/Matrix-Library,MIT,Apache-2.0,8
Rubygems/plupload4rails,https://github.com/chenyun/plupload4rails,"MIT,GPL-2.0",GPL-3.0+,8
Rubygems/cineworld_uk,https://github.com/andycroll/cineworld_uk,MIT,AGPL-3.0,8
Rubygems/locality-uuid,https://github.com/groupon/locality-uuid.rb,MIT,BSD-3-Clause,8
Rubygems/arg_scanner,https://github.com/JetBrains/ruby-type-inference,MIT,Apache-2.0,8
Rubygems/vagrant-saltdeps,https://github.com/joshughes/vagrant-saltdeps,MIT,Apache-2.0,8
Rubygems/instabot,https://github.com/eVanilla/instabot.rb,MIT,GPL-2.0,8
Rubygems/ref2bibtex,https://github.com/SpeciesFileGroup/ref2bibtex,MIT,BSD-3-Clause,8
Rubygems/spree-split-payments,https://github.com/vinsol-spree-contrib/spree-split-payments,MIT,BSD-3-Clause,8
Rubygems/deep_unrest,https://github.com/graveflex/deep_unrest,MIT,WTFPL,7
Rubygems/hammer_builder,https://github.com/pitr-ch/htmless,MIT,LGPL-2.1,7
Rubygems/fresh_proxy,https://github.com/JotaSe/fresh_proxy,MIT,GPL-3.0,7
Rubygems/cenit-collection-super,https://github.com/Asnioby/cenit-collection-super,MIT,BSD-3-Clause,7
Rubygems/hb_exporter,https://github.com/qhwa/huaban_exporter,MIT,GPL-2.0,7
Rubygems/mailbuilder,https://github.com/bjornblomqvist/mailbuilder,MIT,LGPL-3.0,7
