Gem name, Owners, Dependent Open Source Repos
strong_parameters,2,1092
memcache-client,2,1090
bootswatch-rails,2,1078
railroady,2,1072
sysexits,2,1063
capistrano-harrow,2,1055
xmpp4r,2,1055
oa-oauth,2,1040
lograge,2,1032
guard-coffeescript,2,1030
useragent,2,1028
carmen,2,1025
client_side_validations,2,1014
rake,3,481616
builder,3,351904
nokogiri,3,262319
rdoc,3,248704
sqlite3,3,233392
pg,3,183252
sdoc,3,175078
method_source,3,121928
pry,3,115615
listen,3,101005
mini_portile2,3,100691
concurrent-ruby,3,93258
warden,3,73895
rspec-support,3,69334
puma,3,58472
autoprefixer-rails,3,47821
guard,3,42979
mysql2,3,38601
turbolinks-source,3,37904
net-ssh,3,35996
guard-rspec,3,34880
jwt,3,30329
highline,3,30294
net-scp,3,27590
colorator,3,26651
omniauth,3,26626
cocaine,3,24460
mercenary,3,23440
netrc,3,22730
excon,3,21220
gherkin,3,19967
capistrano,3,19492
terminal-table,3,16721
slim,3,15952
fog,3,14656
faraday_middleware,3,14296
bourbon,3,13826
gemoji,3,13105
typhoeus,3,13098
notiffany,3,13089
spork,3,12400
debugger-ruby_core_source,3,10740
net-ssh-gateway,3,10434
colored,3,10373
fog-core,3,10134
classifier-reborn,3,10020
git,3,10011
net-sftp,3,9997
fog-json,3,9912
vcr,3,9274
html2haml,3,9054
friendly_id,3,7718
turn,3,7703
fog-xml,3,7555
webrat,3,7511
virtus,3,7463
slim-rails,3,7063
compass-rails,3,7062
ice_nine,3,6679
middleman-sprockets,3,6552
axiom-types,3,6090
padrino-support,3,5910
fog-terremark,3,5698
fog-vmfusion,3,5696
fog-sakuracloud,3,5686
fog-voxel,3,5489
origin,3,5486
fog-storm_on_demand,3,5207
fog-atmos,3,5049
fog-ecloud,3,5040
rufus-scheduler,3,4995
remotipart,3,4955
net-ldap,3,4832
rspec-collection_matchers,3,4831
moped,3,4633
fog-serverlove,3,4599
babel-transpiler,3,4536
fog-riakcs,3,4505
babel-source,3,4446
memoizable,3,4414
rubyntlm,3,4355
pundit,3,4184
money,3,3959
buftok,3,3763
seed-fu,3,3539
airbrake,3,3467
rr,3,3327
signet,3,3255
nap,3,3237
curb,3,3056
rb-readline,3,3026
net-ssh-multi,3,2954
data_objects,3,2913
scss_lint,3,2818
racc,3,2814
unicorn-worker-killer,3,2794
paper_trail,3,2710
rails-erd,3,2698
rails-api,3,2674
rubysl,3,2501
httpi,3,2492
puppet-blacksmith,3,2362
data_mapper,3,2331
rvm-capistrano,3,2278
omniauth-saml,3,2203
rspec-retry,3,2059
passenger,3,2015
moneta,3,2014
authlogic,3,1974
linecache,3,1967
gollum-grit_adapter,3,1917
psych,3,1879
middleman-blog,3,1869
devise-encryptable,3,1831
ruby-saml,3,1822
do_postgres,3,1748
do_sqlite3,3,1649
barber,3,1632
monetize,3,1616
normalize-rails,3,1601
cardboard,3,1539
pg_search,3,1535
gollum-rugged_adapter,3,1514
rails_config,3,1483
docker-api,3,1476
license_finder,3,1371
albino,3,1282
fog-vsphere,3,1259
pdf-core,3,1257
rspec-activemodel-mocks,3,1220
win32-process,3,1166
httmultiparty,3,1153
carrierwave-mongoid,3,1132
less-rails-bootstrap,3,1120
watir-webdriver,3,1116
fluentd,3,1097
yaml_db,3,1096
ruby-oci8,3,1091
github-markdown,3,1086
amq-protocol,3,1081
rspec-given,3,1056
refinerycms,3,1052
SystemTimer,3,1032
celerity,3,1003
multi_json,4,349527
tilt,4,334463
thread_safe,4,268962
ffi,4,139277
bcrypt,4,86344
sinatra,4,64617
faraday,4,63524
haml,4,59692
factory_girl_rails,4,57635
responders,4,52586
database_cleaner,4,50253
bcrypt-ruby,4,49415
rubyzip,4,49321
selenium-webdriver,4,42424
libv8,4,36166
atomic,4,35662
kaminari,4,31265
ref,4,28440
redis,4,23049
posix-spawn,4,21409
awesome_print,4,19020
pygments.rb,4,18693
jekyll-paginate,4,18238
oauth,4,17570
jekyll-sitemap,4,16951
octokit,4,16862
jekyll-gist,4,16447
jekyll-coffeescript,4,15650
sinatra-contrib,4,15027
mini_magick,4,14333
less-rails,4,13084
jekyll-redirect-from,4,12892
jekyll-feed,4,12598
jemoji,4,12304
jekyll-mentions,4,12176
poltergeist,4,12160
polyamorous,4,11846
sqlite3-ruby,4,10653
equalizer,4,10209
ransack,4,9689
has_scope,4,8970
test-unit,4,7590
capistrano-bundler,4,7499
capistrano-rails,4,7335
httpauth,4,7000
arbre,4,6805
shoulda-context,4,6654
chefspec,4,6121
guard-bundler,4,5936
rcov,4,5794
rack-contrib,4,5788
fog-profitbricks,4,5741
delayed_job_active_record,4,5404
http,4,5254
css_parser,4,4210
acts_as_list,4,3883
google-api-client,4,3847
uuid,4,3817
paranoia,4,3740
jekyll-github-metadata,4,3570
doorkeeper,4,3326
heroku-api,4,3314
rbvmomi,4,3148
hiredis,4,3128
awesome_nested_set,4,3103
librarian-puppet,4,2889
sentry-raven,4,2769
attr_encrypted,4,2663
encryptor,4,2579
fog-xenserver,4,2469
spree_auth_devise,4,2432
gitlab-grit,4,2300
devise-two-factor,4,2222
capistrano-rbenv,4,2188
spinach,4,2165
fog-rackspace,4,2112
flowdock,4,2068
json-schema,4,2064
travis-lint,4,2057
jekyll-textile-converter,4,1970
deep_merge,4,1966
deface,4,1701
allocations,4,1687
guard-foodcritic,4,1604
omniauth-auth0,4,1577
geokit,4,1443
google-analytics-rails,4,1437
decent_exposure,4,1358
devise-i18n,4,1351
resque-scheduler,4,1322
winrm,4,1236
beaker-puppet_install_helper,4,1230
mail_form,4,1217
sax-machine,4,1178
best_in_place,4,1161
taps,4,1054
activerecord-oracle_enhanced-adapter,4,1017
plucky,4,1014
rspec-core,5,143575
rspec-expectations,5,143523
rspec-mocks,5,142830
bundler,5,77991
simplecov,5,50267
activerecord-deprecated_finders,5,48160
hashie,5,43741
thin,5,40594
rest-client,5,38288
simple_form,5,32917
simplecov-html,5,26726
mocha,5,26693
carrierwave,5,25834
jekyll-watch,5,22736
github-pages,5,18660
html-pipeline,5,14980
less,5,14045
newrelic_rpm,5,13076
redis-namespace,5,12236
puppetlabs_spec_helper,5,11635
jeweler,5,11457
ffaker,5,10278
rmagick,5,8404
guard-minitest,5,8019
acts-as-taggable-on,5,7462
padrino-helpers,5,7232
fog-softlayer,5,7052
fog-local,5,5475
heroku,5,4992
mechanize,5,4833
minima,5,4679
resque,5,4575
aruba,5,4342
redis-rails,5,4005
fog-powerdns,5,3985
jasmine,5,3974
neat,5,3959
grape-entity,5,3851
dm-core,5,3778
jasmine-core,5,3581
redis-store,5,3531
dm-migrations,5,3423
metadata-json-lint,5,3269
fog-dynect,5,3250
redis-activesupport,5,3249
redis-rack,5,3224
rolify,5,3220
ruby-openid,5,3187
redis-actionpack,5,3161
ruby-graphviz,5,3038
dm-validations,5,2914
dm-do-adapter,5,2763
dm-aggregates,5,2752
dm-timestamps,5,2741
gollum-lib,5,2642
fog-aliyun,5,2501
dm-types,5,2498
cucumber-core,5,2497
activerecord-session_store,5,2406
dm-sqlite-adapter,5,2365
dm-constraints,5,2355
dm-serializer,5,2323
dm-transactions,5,2280
bourne,5,2159
fog-openstack,5,2155
reek,5,2065
dm-postgres-adapter,5,1958
sorcery,5,1935
rsolr,5,1815
influxdb,5,1776
email_reply_parser,5,1773
zurb-foundation,5,1715
roo,5,1690
padrino-core,5,1573
pusher,5,1496
ancestry,5,1472
rollbar,5,1466
bitters,5,1133
globalize,5,1126
templater,5,1024
rails-footnotes,5,1012
treetop,6,150571
rspec-rails,6,106070
factory_girl,6,62979
jekyll,6,34718
jekyll-sass-converter,6,23253
cucumber-rails,6,15619
maruku,6,14476
puppet-lint,6,10081
rspec-puppet,6,9286
delayed_job,6,6388
foundation-rails,6,5891
grape,6,5678
activerecord-jdbcsqlite3-adapter,6,5295
ruby-debug,6,4992
appraisal,6,4204
activerecord-jdbcpostgresql-adapter,6,3294
activerecord-jdbcmysql-adapter,6,2811
gitlab_omniauth-ldap,6,2634
rubocop-rspec,6,2336
activerecord-jdbc-adapter,6,2150
spreadsheet,6,2149
tinder,6,2066
jdbc-sqlite3,6,2058
ruby-debug-base,6,2048
bunny,6,2011
fakefs,6,1724
sunspot_rails,6,1500
macaddr,6,1307
sunspot_solr,6,1295
gitlab_emoji,6,1272
sunspot,6,1240
spree_backend,6,1155
jdbc-mysql,6,1153
spree_frontend,6,1031
jdbc-postgres,6,1007
thor,7,345647
devise,7,82676
shoulda,7,13907
inherited_resources,7,9415
active_model_serializers,7,8938
activeadmin,7,7901
foodcritic,7,7543
jruby-openssl,7,5391
fog-google,7,5138
ruby-prof,7,4185
ttfunk,7,2306
mongo_mapper,7,1816
ember-rails,7,1720
handlebars-source,7,1596
cocoapods-search,7,1352
rack,8,358157
liquid,8,30002
paperclip,8,26333
cucumber,8,24414
high_voltage,8,5275
spree_core,8,4567
capybara-webkit,8,4514
extlib,8,4066
claide,8,3669
cocoapods-core,8,3246
spree,8,3132
rugged,8,2993
prawn,8,2943
cocoapods-downloader,8,2792
rails_autolink,8,2575
molinillo,8,2445
boxen,8,2071
ember-source,8,1882
cocoapods-stats,8,1735
configuration,8,1497
spree_api,8,1373
spree_sample,8,1340
spree_cmd,8,1023
codeclimate-test-reporter,9,9368
systemu,9,6795
hpricot,9,5921
twilio-ruby,9,2960
travis,9,2667
beaker,9,2541
cocoapods-trunk,9,2465
cocoapods-try,9,2430
libxml-ruby,9,1629
ember-data-source,9,1444
mongrel,9,1324
gh,9,1216
i18n,10,373150
eventmachine,10,50359
shoulda-matchers,10,30362
open4,10,5740
require_all,10,4154
cocoapods,10,3918
xcodeproj,10,3897
gitlab_git,10,2212
active_utils,10,1710
sass-rails,11,301176
github-markup,11,4258
hiera,11,3820
cocoapods-plugins,11,2236
globalid,12,144779
activeresource,12,84740
facter,12,8487
puppet,12,8351
kitchen-ec2,12,1704
kitchen-vagrant,13,8800
protected_attributes,13,3168
activemerchant,13,2563
activesupport,14,387752
rails,14,350417
activerecord,14,339649
activemodel,14,337045
actionpack,14,323054
actionmailer,14,317968
railties,14,312777
actionview,14,190082
activejob,14,148175
rails-dom-testing,14,142773
rails-html-sanitizer,14,142635
rails-deprecated_sanitizer,14,109539
test-kitchen,14,10408
rails-observers,14,3358
rails-controller-testing,14,2940
wmi-lite,14,1441
actionpack-action_caching,14,1127
coffee-rails,15,291041
jbuilder,15,213577
web-console,15,132710
actioncable,15,38399
arel,16,328526
execjs,16,311598
sprockets,16,303505
jquery-rails,16,303168
coffee-script-source,16,300414
sprockets-rails,16,225308
turbolinks,16,200722
spring,16,162696
mixlib-shellout,16,4287
mixlib-log,16,4004
mixlib-cli,16,3685
mixlib-config,16,3588
mixlib-authentication,16,3458
ohai,16,3440
github-linguist,16,2236
ffi-yajl,16,1536
libyajl2,16,1394
coffee-script,17,301869
chef,17,5761
chef-zero,17,2177
dep-selector-libgecode,17,1057
ridley,18,2141
solve,18,2118
buff-shell_out,18,1905
buff-ruby_engine,18,1891
buff-extensions,18,1887
buff-config,18,1848
varia_model,18,1823
buff-ignore,18,1784
berkshelf-api-client,18,1280
semverse,18,1265
dep_selector,18,1098
berkshelf,20,11343
rerun,32,3056
